TABLE_NAME	COLUMN_NAME	DATA_TYPE	MAX_LENGTH	IS_NULLABLE	DEFAULT_VALUE	PRIMARY_KEY	FOREIGN_KEY	REFERENCED_TABLE	REFERENCED_COLUMN	UNIQUE_KEY
tag_filters	tag_id	numeric	13	NO	NULL	NULL	tag_filters$tag_filters_tag_id_fk	tags	id	NULL
taggings	id	numeric	13	NO	NULL	PK_taggings_id	NULL	NULL	NULL	NULL
taggings	story_id	numeric	13	NO	NULL	NULL	taggings$taggings_story_id_fk	stories	id	taggings$story_id_tag_id
taggings	tag_id	numeric	13	NO	NULL	NULL	NULL	NULL	NULL	taggings$story_id_tag_id
tags	id	numeric	13	NO	NULL	PK_tags_id	NULL	NULL	NULL	NULL
tags	tag	nvarchar	50	NO	NULL	NULL	NULL	NULL	NULL	tags$tag
tags	description	nvarchar	200	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
tags	privileged	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
tags	is_media	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
tags	inactive	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
tags	hotness_mod	real	4	YES	((0))	NULL	NULL	NULL	NULL	NULL
tags	permit_by_new_users	smallint	2	NO	((1))	NULL	NULL	NULL	NULL	NULL
users	id	numeric	13	NO	NULL	PK_users_id	NULL	NULL	NULL	NULL
users	username	nvarchar	100	YES	(NULL)	NULL	NULL	NULL	NULL	users$username
users	email	nvarchar	200	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	password_digest	nvarchar	150	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	created_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	is_admin	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
users	password_reset_token	nvarchar	150	YES	(NULL)	NULL	NULL	NULL	NULL	users$password_reset_token
users	session_token	nvarchar	150	NO	(N'')	NULL	NULL	NULL	NULL	users$session_hash
users	about	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
users	invited_by_user_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	is_moderator	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
users	pushover_mentions	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
users	rss_token	nvarchar	150	YES	(NULL)	NULL	NULL	NULL	NULL	users$rss_token
users	mailing_list_token	nvarchar	150	YES	(NULL)	NULL	NULL	NULL	NULL	users$mailing_list_token
users	mailing_list_mode	int	4	YES	((0))	NULL	NULL	NULL	NULL	NULL
users	karma	int	4	NO	((0))	NULL	NULL	NULL	NULL	NULL
users	banned_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	banned_by_user_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	banned_reason	nvarchar	400	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	deleted_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	disabled_invite_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	disabled_invite_by_user_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	disabled_invite_reason	nvarchar	400	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	settings	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
